sample_name,paired-end-read1,paired-end-read2 
evolved01,data/fastq/sample_01_R1_001.fastq.gz,data/fastq/sample_01_R2_001.fastq.gz
evolved02,data/fastq/sample_02_R1_001.fastq.gz,data/fastq/sample_02_R2_001.fastq.gz
